ID,Date,Rotation Range,Width Shift Range,Height Shift Range,Shear Range,Zoom Range,Horizontal Flip,Vertical Flip
29044dd2-3aa1-4872-bd4a-7fb7d02b5f1c,2023-12-03_23:31,20,0.2,0.2,0.2,0.2,True,True
715ae022-39a7-4c4a-8885-1c15c4a49c69,2023-12-04_00:19,20,0.2,0.2,0.2,0.2,True,True
afa920f0-d847-4308-8e5d-ee242e8d1b61,2023-12-07_00:21,20,0.2,0.2,0.2,0.2,True,True
bc3f89c9-9017-4006-90f2-55628f6f86f9,2023-12-07_00:38,20,0.2,0.2,0.2,0.2,True,True
8476701f-e7e2-42bf-898e-c3efc8b683af,2023-12-07_00:46,20,0.2,0.2,0.2,0.2,True,True
0eec0cf2-ac60-4b08-b04e-9e95bfdfbcd2,2023-12-07_01:09,20,0.2,0.2,0.2,0.2,True,True
7c7e5c83-6692-4abf-84e0-b97749b45153,2023-12-07_01:24,20,0.2,0.2,0.2,0.2,True,True
8da58238-423e-4ce2-9398-bb92aa723cfa,2023-12-07_01:30,20,0.2,0.2,0.2,0.2,True,True
434d0a7c-555a-495b-ab05-4fd766c7d034,2023-12-07_01:33,20,0.2,0.2,0.2,0.2,True,True
094c923e-974e-4eed-9ba8-0b40f8320fe4,2023-12-07_01:50,20,0.2,0.2,0.2,0.2,True,True
ad121696-d36c-4718-bfff-a441be1795b3,2023-12-07_01:54,20,0.2,0.2,0.2,0.2,True,True
0a1a4a08-b8e2-41f2-aae3-e6e857f6e731,2023-12-07_01:59,20,0.2,0.2,0.2,0.2,True,True
9e9459b9-6f1b-4e4c-a355-d07a22f6147c,2023-12-07_19:12,20,0.2,0.2,0.2,0.2,True,True
48ef1878-290a-4bdb-9477-50bd4efa2bfa,2023-12-07_19:12,20,0.2,0.2,0.2,0.2,True,True
89363731-743c-4907-ac89-97b365d85ecc,2023-12-07_19:16,20,0.2,0.2,0.2,0.2,True,True
e3e1c916-3f47-4b07-98ee-4482ff562eee,2023-12-07_19:49,20,0.2,0.2,0.2,0.2,True,True
f2d6ce63-59a3-4356-82bb-7a7b53d2e6c6,2023-12-07_21:00,20,0.2,0.2,0.2,0.2,True,True
1f962e57-bcb3-4fe8-8a22-55633480c951,2023-12-07_21:37,20,0.2,0.2,0.2,0.2,True,True
e141cb7e-c8b6-43bc-835f-3498830c8666,2023-12-07_22:05,20,0.2,0.2,0.2,0.2,True,True
2a7fba64-1c56-496e-9ddd-ba9efd7416ae,2023-12-07_22:11,20,0.2,0.2,0.2,0.2,True,True
c3ef9849-9e7e-47d9-9dda-d5b5e4e107b8,2023-12-08_00:02,20,0.2,0.2,0.2,0.2,True,True
97a90d16-5e6e-42fd-8b2e-2fe9bb1e153b,2023-12-08_00:55,20,0.2,0.2,0.2,0.2,True,True
ea76f4e5-9e04-4cac-ab05-925b29133854,2023-12-08_01:09,20,0.2,0.2,0.2,0.2,True,True
36db1b5b-87d6-493a-9b09-a8029b8e040f,2023-12-08_02:41,20,0.2,0.2,0.2,0.2,True,True
769ab535-85c9-43b4-9f12-c7e8dd7c204a,2024-02-16_19:54,20,0.2,0.2,0.2,0.2,True,True
7cf6e977-5bee-4e32-86e9-a0f679ccbfe0,2024-02-17_01:52,20,0.2,0.2,0.2,0.2,True,True
00a88e19-f7c3-4f92-bbdb-e4cdee40ae32,2024-02-17_06:03,20,0.2,0.2,0.2,0.2,True,True
194b86ba-f4c5-4a7d-ae22-3b56917e3fc8,2024-02-17_17:31,20,0.2,0.2,0.2,0.2,True,True
